BHK,Bathroom,Parking,Area,Per_Sqft,Furnishing,Status,Transaction,Type,Locality,Price
2,1,1,850,2235,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Siddhartha Heights, Dwarka Sector 24",1900000
4,4,1,2400,2235,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Find Homes, Greater Kailash 2",70000000
3,2,1,1350,3800,Unfurnished,Ready_to_move,New_Property,Apartment,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000
2,2,1,540,5000,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Adarsh Homes, Dwarka Mor",3000000
4,4,1,1387,4247,Unfurnished,Ready_to_move,New_Property,Apartment,"Delhi Homes Yojana, Dwarka Sector 24",5890000
2,2,1,540,6111,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Kushwaha Homes, Uttam Nagar",3300000
2,2,1,976,25512,Furnished,Ready_to_move,New_Property,Apartment,"Godrej South Estate, Okhla",24900000
3,2,1,1050,3524,Unfurnished,Ready_to_move,New_Property,Apartment,"The Elite Spire, Dwarka Sector 21",3700000
4,3,1,2700,22222,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"APL Builder Floor, Greater Kailash 1",60000000
3,2,1,1500,22222,Unfurnished,Ready_to_move,Resale,Apartment,"Kunj Vihar Apartment, Dwarka Sector 12",17400000
5,5,1,2900,22222,Furnished,Almost_ready,New_Property,Builder_Floor,Janakpuri Block A3,51000000
5,6,4,5025,22222,Unfurnished,Almost_ready,New_Property,Builder_Floor,Greater Kailash 2,170000000
3,2,1,1000,22222,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000
3,3,2,1135,22222,Furnished,Almost_ready,Resale,Apartment,"The Amaryllis, Karol Bagh",25000000
3,3,1,2306,24718,Unfurnished,Almost_ready,New_Property,Apartment,"The Leela Sky Villas, Patel Nagar",57000000
2,2,1,850,24718,Semi-Furnished,Almost_ready,New_Property,Apartment,"Diamond Heights Multi Estate, Najafgarh",2940000
3,3,1,1200,24718,Semi-Furnished,Ready_to_move,Resale,Apartment,"Ashirwad Apartments, Dwarka Sector 12",15500000
3,2,1,1700,24718,Semi-Furnished,Ready_to_move,Resale,Apartment,"Sunny Valley Apartments, Dwarka",17200000
4,3,2,1800,30556,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Vasant Vihar Builder Floor, Vasant Vihar",55000000
2,2,1,1100,30556,Semi-Furnished,Ready_to_move,Resale,Apartment,Vasant Kunj,15000000
4,4,2,22050,30556,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,Greater Kailash 1,51000000
4,3,1,1550,30556,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Rohini Sector 24,13000000
3,3,1,1600,18750,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Greater Kailash 1,30000000
2,2,1,700,18750,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Khanpur, Madangir",2400000
4,3,1,45,18750,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Batla House, Okhla",5500000
4,4,2,3510,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Friends Colony West, New Friends Colony",45000000
4,4,2,4500,120000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,60000000
4,4,2,1800,120000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,65000000
5,5,9,6000,120000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Maharani Bagh, New Friends Colony",220000000
4,4,2,4300,120000,Unfurnished,Ready_to_move,Resale,Builder_Floor,"New Friends Colony carpet area 4300 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold hurry up... dont waste time any where, It is best deal in your pocket budget.well maintained second floor with terrace garden plus 2 additional room on terrace up for sale in new friends colony.the property has 4 king sized bedroom attached bathroom with roof top shower with Jacuzzi. It has 3 big balconies with wonderful outer view. It has modular kitchen with new fittings. It has servant quarter pooja room study room store room etc. It has drawing & dining. It has 2 car parking with gated society. It has 247 hours water supply with full power backup. It is in amazing location. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",60000000
3,3,2,1700,120000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Friends Colony East, New Friends Colony",38500000
3,3,2,2500,120000,Semi-Furnished,Ready_to_move,Resale,Apartment,"Maharani Bagh, New Friends Colony",50000000
4,4,2,4500,120000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,75000000
4,4,2,2450,120000,Furnished,Ready_to_move,New_Property,Builder_Floor,"Friends Colony West, New Friends Colony",70000000
4,7,3,10350,15459,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Maharani Bagh, New Friends Colony",160000000
3,4,1,4800,15459,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Maharani Bagh, New Friends Colony",85000000
3,3,2,1600,15459,Semi-Furnished,Ready_to_move,Resale,Apartment,New Friends Colony,40000000
4,4,2,3500,15459,Unfurnished,Ready_to_move,Resale,Builder_Floor,New Friends Colony,90000000
4,5,2,2100,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,56000000
5,5,2,4200,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Friends Colony East, New Friends Colony",135500000
3,3,2,1500,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,60000000
4,5,4,8150,15459,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Maharani Bagh, New Friends Colony",170000000
4,4,2,2200,15459,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kalindi Colony, Maharani Bagh, New Friends Colony",50000000
4,5,2,3500,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,58000000
3,3,2,2070,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Friends Colony East, New Friends Colony",37500000
3,3,1,3500,15459,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Maharani Bagh, New Friends Colony",45000000
4,4,3,2000,15459,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,70000000
6,4,2,2800,15459,Semi-Furnished,Ready_to_move,Resale,Apartment,"Taimoor Enclave, New Friends Colony carpet area 2800 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park society Taimoor Enclave car parking 2 Covered, 1 Open bathroom 4 balcony 2 ownership Freehold Two floor of the house is available for sale SECOND AND THIRD FLOOR EXTRA made, provision for LIFT can be provided by the OWNER .DDA FLATS of TAIMOOR ENCLAVE, NEAR GURUDWARA, NEW FRIENDS COLONY, SOUTH DELHI , HOUSE IS ON THE SECOND FLOOR have 3 bed room and 2 wash room and and same on the Third Floor, URGENT SALE, BROKER EXCUSE. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes 100+ Buyers Served",29500000
4,4,1,2550,23529,Unfurnished,Ready_to_move,Resale,Builder_Floor,New Friends Colony,60000000
4,4,2,4500,23529,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,New Friends Colony,70000000
3,3,2,1400,23529,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,50000000
4,5,2,2800,23529,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,New Friends Colony,75000000
4,4,2,2700,23529,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"New Friends Colony Floors, New Friends Colony",52500000
4,4,2,4500,23529,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,New Friends Colony,55000000
4,4,2,7200,16667,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Maharani Bagh, New Friends Colony",120000000
4,4,,2799,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",65000000
4,4,2,2650,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",75000000
4,4,2,2200,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",47500000
5,5,1,3500,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",70000000
4,4,2,2200,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",47500000
4,4,1,2200,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",40000000
4,4,3,3500,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",85000000
3,3,3,1440,20000,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",26000000
4,4,3,3150,11111,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",35000000
2,2,3,900,11111,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",20000000
4,5,3,3690,21409,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",79000000
3,2,3,1200,21409,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",17000000
4,4,2,4500,95000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",47500000
4,4,2,2799,15363,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",43000000
3,3,1,1350,19259,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",26000000
3,3,1,1200,20833,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",25000000
4,5,2,2177,20833,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",51000000
3,3,2,1500,20833,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",40000000
3,3,1,1600,20833,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",22500000
4,4,1,4500,20833,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",70000000
4,4,2,2150,20930,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",45000000
4,4,2,2107,20930,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Kailash Colony, Greater Kailash",51100000
3,3,1,1150,20930,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",25500000
3,3,2,1240,20930,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",26500000
2,2,1,1000,20930,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",15000000
4,4,2,4500,20930,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",55000000
3,3,2,1150,20930,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",26000000
4,4,2,2000,20930,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",38000000
4,5,2,4500,20930,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Kailash Colony, Greater Kailash",72500000
4,5,4,3000,20930,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Kailash Colony, Greater Kailash",65000000
2,2,,700,,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Ram Nagar, Shahdara",4600000
2,2,,750,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Jyoti Nagar West, Shahdara",9200000
4,3,2,1350,,Unfurnished,Ready_to_move,Resale,Apartment,"Hans Apartments, Vishwas Nagar, Shahdara",9500000
2,2,1,900,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Naveen Shahdara, Shahdara",4500000
3,2,1,970,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Balbir Nagar, Shahdara",6500000
3,2,1,1000,,Furnished,Ready_to_move,Resale,Builder_Floor,"Rohitash Nagar East, Shahdara",5650000
3,3,1,1425,6526,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Naveen Shahdara, Shahdara",9300000
2,2,1,440,6526,Unfurnished,Ready_to_move,Resale,Apartment,Shahdara,2700000
2,2,1,1017,6526,Furnished,Ready_to_move,New_Property,Builder_Floor,"Vishwas Nagar, Shahdara",6500000
2,2,1,650,6526,Semi-Furnished,Ready_to_move,Resale,Apartment,"DDA RPS Flats, Mansarowar Park, Shahdara",5800000
3,2,1,950,6526,Semi-Furnished,Ready_to_move,Resale,Apartment,Shahdara,5500000
3,2,1,810,6526,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",6000000
2,2,1,750,6526,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Balbir Nagar, Shahdara",4500000
2,2,2,990,6526,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Shahdara,4100000
3,2,2,800,6526,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Ram Nagar, Shahdara",3800000
2,1,1,675,6526,Unfurnished,Ready_to_move,Resale,Apartment,Shahdara,3300000
2,1,1,558,6526,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Rohtash Nagar, Shahdara",2900000
2,1,1,445,6526,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Ram Nagar Extension, Shahdara",2000000
2,1,1,360,6526,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Maujpur, Shahdara",1550000
4,3,1,1350,6526,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Mansarowar Park, Shahdara",11300000
3,2,1,850,6526,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Gorakh Park West, Shahdara",4500000
2,1,1,846,3901,Unfurnished,Ready_to_move,New_Property,Apartment,"Shivnam Apartment, Shahdara",3300000
4,3,1,1300,3901,Furnished,Ready_to_move,New_Property,Builder_Floor,"Mansarowar Park, Shahdara",11500000
3,2,1,900,3901,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,"Ram Nagar Extension, Shahdara",6000000
3,2,1,1050,3901,Semi-Furnished,Ready_to_move,Resale,Apartment,"Hans Apartments, Vishwas Nagar, Shahdara",9000000
2,2,1,850,3901,Furnished,Ready_to_move,Resale,Builder_Floor,"Jyoti Colony, Shahdara",4500000
4,3,1,1650,3901,Furnished,Almost_ready,New_Property,Apartment,Shahdara,14000000
2,2,1,1150,6347,Semi-Furnished,Ready_to_move,Resale,Apartment,"Ahinsha Vatika, Ram Nagar, Shahdara",7300000
1,1,1,495.1394,41304,Furnished,Ready_to_move,Resale,Builder_Floor,Shahdara,1900000
3,2,4,1053,41304,Furnished,Ready_to_move,Resale,Builder_Floor,"Naveen Shahdara, Shahdara",7000000
3,2,1,810,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",6000000
1,2,1,750,,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",6400000
2,1,1,540,5000,Furnished,Ready_to_move,New_Property,Apartment,"Yamuna Vihar, Shahdara",2700000
2,2,1,747,8701,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",6500000
2,1,1,720,5556,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",4000000
1,1,1,376.7365,85715,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Yamuna Vihar, Shahdara",3000000
2,2,1,1125,4444,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",5000000
2,2,1,713,4444,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Yamuna Vihar, Shahdara",6000000
1,1,1,360,6944,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",2500000
2,2,1,900,7222,Semi-Furnished,Ready_to_move,Resale,Apartment,"Yamuna Vihar, Shahdara",6500000
3,1,1,713,11220,Unfurnished,Ready_to_move,Resale,Apartment,"Yamuna Vihar, Shahdara",8000000
2,1,1,504,5357,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",2700000
1,2,1,70,5357,Unfurnished,Ready_to_move,Resale,Apartment,"Yamuna Vihar, Shahdara",4500000
3,2,1,850,6706,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",5700000
4,3,1,2430,10288,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",25000000
3,3,1,2475,28283,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",70000000
7,4,1,2970,8923,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",26500000
3,2,1,2250,8222,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",18500000
5,3,1,1500,20000,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",30000000
2,2,1,1512,14550,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",22000000
2,2,1,400,14550,Furnished,Ready_to_move,Resale,Builder_Floor,"mind. The space is airy, is well located and can be easily customized as per the needs. Prime facilities are easily accessible from this place with Government Girls Senior Secondary School No 2 (0 km ). Other key neighbourhood are B Block Market (0 km ). read more Contact Owner View Phone No. Share Feedback Owner vinod kumar",9000000
3,3,1,2160,30093,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",65000000
3,2,1,630,35714,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",22500000
6,3,1,324,35714,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",8700000
6,5,1,720,35714,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",22000000
4,2,2,675,35714,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",18500000
2,1,2,700,22857,Furnished,Ready_to_move,New_Property,Builder_Floor,"Yamuna Vihar, Shahdara",16000000
4,3,2,675,22857,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",16000000
4,2,2,720,12500,Furnished,Ready_to_move,Resale,Builder_Floor,"Yamuna Vihar, Shahdara",9000000
2,2,1,850,12500,Furnished,Ready_to_move,Resale,Builder_Floor,"Jyoti Colony, Shahdara",4500000
3,2,1,801,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Laxmi Nagar,6000000
1,2,1,450,,Unfurnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,2700000
3,2,1,1000,,Unfurnished,Ready_to_move,Resale,Apartment,Laxmi Nagar,6500000
3,2,1,990,4040,Unfurnished,Ready_to_move,Resale,Apartment,Laxmi Nagar,4000000
2,1,1,420,4040,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Laxmi Nagar,2600000
2,1,1,450,7778,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,3500000
2,2,1,1000,7778,Unfurnished,Ready_to_move,Resale,Apartment,Laxmi Nagar,7500000
3,2,1,900,7778,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,7000000
3,2,1,800,7778,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Laxmi Nagar,4500000
3,3,2,720,7778,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,5500000
2,1,2,450,7778,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Laxmi Nagar,2700000
2,2,2,675,32000,Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,2400000
4,3,2,1700,32000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,Laxmi Nagar,11500000
2,2,2,550,32000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Guru Angad Nagar West, Laxmi Nagar",3600000
1,2,2,387,32000,Unfurnished,Ready_to_move,New_Property,Builder_Floor,"Guru Angad Nagar West, Laxmi Nagar",1700000
2,1,2,450,32000,Unfurnished,Ready_to_move,Resale,Apartment,"Lalita Park, Laxmi Nagar",2500000
4,2,1,900,32000,Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,6600000
2,1,1,500,32000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,3700000
2,1,1,441,32000,Unfurnished,Ready_to_move,Resale,Apartment,"Krishan Kunj, Laxmi Nagar",3500000
3,2,1,800,32000,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Lalita Park, Laxmi Nagar",5400000
2,2,1,450,5666,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Laxmi Nagar super area 450 sqft status Ready to Move floor 3 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property East Facing Property This Builder Floor Apartment at 3rd faces East & overlooks Main Road offering a beautiful view from the house. with airy interiors. The type of ownership is Freehold. The Builder Floor Apartment is newly constructed. Bank loans available from LIC Housing Finance, Kotak Mahindra Bank, Indiabulls. Flooring of type Marble covers maximum part of the house. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Sonia",2550000
3,3,1,1000,5666,Furnished,Ready_to_move,Resale,Builder_Floor,"Laxmi Nagar carpet area 1000 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Furnished bathroom 3 balcony 1 It's a 1st floor Builder Floor Apartment in a building of total 4 floors. The age of construction for this Builder Floor Apartment is between 10 to 15 years. The location has easy access to, Dena Bank (0 km ), Delhi Convent School (0 km ), DDA Market (0 km ) and Nirman Vihar Metro Station (2 km ). read more Contact Owner View Phone No. Share Feedback Owner Vipul Jain",12500000
2,2,1,715,5666,Unfurnished,Ready_to_move,Resale,Apartment,Laxmi Nagar,5600000
2,2,1,600,11667,Unfurnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,7000000
2,1,1,540,11667,Unfurnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,3500000
4,4,1,312,112179,Furnished,Ready_to_move,Resale,Apartment,"Bank Enclave, Laxmi Nagar",35000000
3,2,1,810,11111,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,9000000
1,1,1,270,11111,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Guru Angad Nagar West, Laxmi Nagar",2300000
3,2,1,900,11111,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Laxmi Nagar,6000000
3,2,1,1000,11111,Unfurnished,Ready_to_move,Resale,Apartment,Laxmi Nagar,6000000
2,2,1,540,,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,2650000
3,2,1,950,4600,Furnished,Ready_to_move,New_Property,Apartment,"Uttam Nagar Floors, Uttam Nagar",4370000
3,2,1,1000,4620,Unfurnished,Ready_to_move,New_Property,Apartment,"Virat Residency, Dwarka Mor",4620000
2,2,1,540,5000,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Adarsh Homes, Dwarka Mor",3000000
2,2,1,540,6111,Semi-Furnished,Ready_to_move,New_Property,Apartment,"Kushwaha Homes, Uttam Nagar",3300000
3,2,1,1000,6111,Semi-Furnished,Almost_ready,New_Property,Builder_Floor,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000
2,2,1,500,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Dwarka Mor,3200000
2,2,1,540,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar West,2600000
3,2,1,780,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,4000000
2,1,1,450,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar West,1850000
1,1,1,360,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,1700000
3,2,1,900,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"SB Residency, Dwarka Mor",2800000
2,2,1,495,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar West,2150000
4,3,1,1200,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"SB Residency, Dwarka Mor",6800000
3,2,1,1000,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,6200000
2,2,1,620,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,3100000
3,2,1,680,6111,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Dwarka Mor,3400000
2,2,1,805,6111,Unfurnished,Ready_to_move,Resale,Builder_Floor,"Kiran Garden, Uttam Nagar",4000000
2,2,1,729,6584,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"Mohan Garden, Razapur Khurd",4800000
2,2,1,540,6584,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,2500000
1,1,1,360,6584,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar,2000000
2,2,1,550,6584,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar West,1900000
3,2,1,1001,5794,Furnished,Ready_to_move,New_Property,Builder_Floor,"Mitya Homes, Dwarka Mor",5800000
2,2,1,450,5794,Unfurnished,Ready_to_move,Resale,Builder_Floor,Dwarka Mor,2900000
2,1,1,550,5794,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,Uttam Nagar West,2000000
2,2,1,550,5794,Semi-Furnished,Ready_to_move,New_Property,Builder_Floor,"Uttam Nagar carpet area 550 sqft status Ready to Move transaction New Property furnishing Semi-Furnished facing East overlooking Main Road bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2bhk fully furnished flats available for sale at uttam nagar, the flat is fully loaded, one singal wall texture in all bedrooms, modular kitchen, LED pannel in drawing room, wardrobes in bedroom read more Contact Agent View Phone No. Share Feedback Pranita Developers Pvt. Ltd. Certified Agent Trusted by Users Genuine Listings 100+ Buyers Served",2600000
2,1,1,675,5794,Unfurnished,Ready_to_move,Resale,Builder_Floor,Uttam Nagar,2900000
2,2,1,585,5794,Unfurnished,Ready_to_move,Resale,Builder_Floor,Uttam Nagar,3200000
3,2,1,810,5794,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,"New Uttam Nagar, Uttam Nagar",5400000
3,2,1,765,5794,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Dwarka Mor,3800000
5,4,1,4688,28797,Unfurnished,Almost_ready,New_Property,Apartment,"The Leela Sky Villas, Patel Nagar",135000000
4,4,1,3901,23840,Unfurnished,Almost_ready,New_Property,Apartment,"The Leela Sky Villas, Patel Nagar",93000000
2,3,1,70,23840,Furnished,Ready_to_move,New_Property,Builder_Floor,"Patel Nagar South, Patel Nagar",8200000
3,2,1,800,23840,Unfurnished,Ready_to_move,Resale,Builder_Floor,Patel Nagar West,8000000
3,2,1,900,23840,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Patel Nagar West,9500000
4,5,1,1680,23840,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Patel Nagar West,20000000
2,2,3,900,23840,Furnished,Ready_to_move,Resale,Builder_Floor,Patel Nagar West,7400000
3,3,1,2000,23840,Semi-Furnished,Ready_to_move,Resale,Apartment,"Patel Nagar East, Patel Nagar",37500000
4,4,3,2000,7500,Semi-Furnished,Ready_to_move,Resale,Builder_Floor,Patel Nagar West,15000000
